City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Puerto Ayora,EC,2022-11-25 22:05:20,-0.7393,-90.3518,76.96,93,56,7.0
89,Saldanha,ZA,2022-11-25 22:05:21,-33.0117,17.9442,60.91,71,0,28.3
90,Kodiak,US,2022-11-25 22:03:23,57.79,-152.4072,35.53,57,0,23.24
91,Saint George,US,2022-11-25 22:05:15,37.1041,-113.5841,58.24,28,0,3.44
92,Carnarvon,AU,2022-11-25 22:05:21,-24.8667,113.6333,65.84,70,0,19.22
93,Mahibadhoo,MV,2022-11-25 22:05:22,3.7833,72.9667,80.55,75,71,10.65
94,Merauke,ID,2022-11-25 22:06:22,-8.4667,140.3333,78.98,87,100,7.2
95,Provideniya,RU,2022-11-25 22:06:23,64.3833,-173.3,19.51,68,20,15.66
96,Leh,IN,2022-11-25 22:06:23,34.1667,77.5833,18.14,52,78,2.1
97,Khatanga,RU,2022-11-25 22:06:23,71.9667,102.5,-22.59,100,97,4.5
98,Torbay,CA,2022-11-25 22:03:19,47.6666,-52.7314,34.75,89,46,1.99
99,Muros,ES,2022-11-25 22:06:24,42.7762,-9.0603,52.68,94,98,6.82
100,Sitka,US,2022-11-25 22:06:24,57.0531,-135.33,40.89,81,100,16.11
101,Hasaki,JP,2022-11-25 22:06:24,35.7333,140.8333,50.4,60,100,20.56
102,Maragogi,BR,2022-11-25 22:06:25,-9.0122,-35.2225,78.6,78,40,12.77
103,Avera,US,2022-11-25 22:06:25,33.194,-82.5271,60.91,94,100,4.65
104,Tazovskiy,RU,2022-11-25 22:06:26,67.4667,78.7,-9.85,87,100,9.91
105,Cabo San Lucas,MX,2022-11-25 22:06:26,22.8909,-109.9124,83.61,38,0,3.44
106,Goderich,CA,2022-11-25 22:06:26,43.7501,-81.7165,42.91,66,100,20.83
107,Norman Wells,CA,2022-11-25 22:06:27,65.282,-126.8329,8.96,97,99,2.95
108,Srednekolymsk,RU,2022-11-25 22:06:27,67.45,153.6833,-15.38,98,100,6.38
109,Komsomolskiy,UZ,2022-11-25 22:06:27,40.4272,71.7189,41.72,87,79,0.0
110,Rubiataba,BR,2022-11-25 22:06:28,-15.1644,-49.8033,71.24,88,87,2.15
111,Iqaluit,CA,2022-11-25 22:06:28,63.7506,-68.5145,-2.31,77,96,3.0
112,Qaanaaq,GL,2022-11-25 22:06:29,77.484,-69.3632,1.44,75,100,5.23
113,Batagay,RU,2022-11-25 22:06:29,67.6333,134.6333,-33.95,97,99,3.33
114,Pareora,NZ,2022-11-25 22:06:29,-44.4871,171.2132,59.18,84,8,8.86
115,Saint-Philippe,RE,2022-11-25 22:06:30,-21.3585,55.7679,71.19,83,44,10.65
116,Ilulissat,GL,2022-11-25 22:06:30,69.2167,-51.1,6.3,87,100,4.76
117,Bilibino,RU,2022-11-25 22:06:30,68.0546,166.4372,-13.34,97,99,2.82
