City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
105,Alappuzha,IN,2022-11-29 19:33:16,9.49,76.3264,78.03,82,60,1.1,broken clouds
106,Vangaindrano,MG,2022-11-29 19:33:16,-23.35,47.6,73.76,92,90,3.02,light rain
107,Apollonia,GR,2022-11-29 19:33:17,36.9716,24.7231,54.99,79,99,9.06,overcast clouds
108,Asfi,MA,2022-11-29 19:33:18,32.2994,-9.2372,61.07,65,6,16.67,clear sky
109,Zhezkazgan,KZ,2022-11-29 19:33:19,47.8043,67.7144,19.44,61,100,13.33,overcast clouds
110,Puerto Del Rosario,ES,2022-11-29 19:33:19,28.5004,-13.8627,69.55,73,75,14.97,broken clouds
111,Batagay,RU,2022-11-29 19:33:21,67.6333,134.6333,-29.13,96,100,0.98,overcast clouds
112,Tiksi,RU,2022-11-29 19:33:23,71.6872,128.8694,-30.01,99,54,4.18,broken clouds
113,Kaitangata,NZ,2022-11-29 19:33:24,-46.2817,169.8464,53.8,95,100,5.21,moderate rain
114,Salalah,OM,2022-11-29 19:33:03,17.0151,54.0924,78.89,78,40,3.44,scattered clouds
115,Fortuna,US,2022-11-29 19:28:51,40.5982,-124.1573,48.92,84,0,1.01,clear sky
116,Yulara,AU,2022-11-29 19:33:27,-25.2406,130.9889,65.43,33,0,9.08,clear sky
117,Corumba,BR,2022-11-29 19:33:28,-19.0092,-57.6533,98.51,23,75,6.91,broken clouds
118,Hilo,US,2022-11-29 19:33:28,19.7297,-155.09,77.61,84,20,7.0,few clouds
119,Katsuura,JP,2022-11-29 19:33:28,35.1333,140.3,71.62,92,100,17.78,overcast clouds
120,Effingham,US,2022-11-29 19:32:25,32.3669,-81.3332,75.15,57,1,4.43,clear sky
121,Kangaba,ML,2022-11-29 19:33:29,11.9333,-8.4167,79.14,23,90,4.25,overcast clouds
122,Puerto Cabezas,NI,2022-11-29 19:33:29,14.0351,-83.3888,85.96,70,75,11.5,broken clouds
123,Saurimo,AO,2022-11-29 19:33:30,-9.6608,20.3916,63.41,99,100,4.16,overcast clouds
124,Atuona,PF,2022-11-29 19:33:30,-9.8,-139.0333,77.76,73,28,16.11,scattered clouds
125,Pampa,US,2022-11-29 19:33:30,35.5362,-100.9599,42.84,56,0,19.57,clear sky
126,Terrasini,IT,2022-11-29 19:33:31,38.146,13.0844,55.22,84,75,2.3,broken clouds
127,Dingle,PH,2022-11-29 19:32:33,10.9995,122.6711,75.51,92,20,7.67,few clouds
128,Severo-Kurilsk,RU,2022-11-29 19:33:31,50.6789,156.125,35.67,96,100,23.71,moderate rain
129,Kieta,PG,2022-11-29 19:33:32,-6.2167,155.6333,79.03,85,92,3.87,light rain
130,Basoko,CD,2022-11-29 19:33:32,1.2391,23.616,73.29,86,100,2.17,overcast clouds
131,Tukums,LV,2022-11-29 19:33:32,56.9669,23.1553,33.15,99,88,4.54,overcast clouds
132,Havoysund,NO,2022-11-29 19:33:33,70.9963,24.6622,37.63,82,100,14.14,overcast clouds
133,New Norfolk,AU,2022-11-29 19:33:33,-42.7826,147.0587,54.88,67,100,1.99,overcast clouds
134,Hays,US,2022-11-29 19:33:33,30.0502,-98.0336,82.08,62,2,3.0,clear sky
135,Khandbari,NP,2022-11-29 19:33:34,27.3747,87.2039,56.44,71,4,3.22,clear sky
136,Huarmey,PE,2022-11-29 19:33:34,-10.0681,-78.1522,72.7,71,69,9.35,broken clouds
137,Garhakota,IN,2022-11-29 19:33:34,23.7667,79.15,58.39,53,97,3.56,overcast clouds
138,Kavieng,PG,2022-11-29 19:33:35,-2.5744,150.7967,82.04,68,98,3.98,overcast clouds
139,Kayerkan,RU,2022-11-29 19:34:35,69.3497,87.7602,-11.61,99,94,5.39,overcast clouds
140,Nadym,RU,2022-11-29 19:34:36,65.5333,72.5167,6.75,97,98,5.75,overcast clouds
141,Pevek,RU,2022-11-29 19:34:36,69.7008,170.3133,6.04,97,99,3.0,overcast clouds
142,Bendigo,AU,2022-11-29 19:34:36,-36.7667,144.2833,49.86,50,9,4.47,clear sky
143,Quelimane,MZ,2022-11-29 19:34:37,-17.8786,36.8883,75.15,88,75,4.61,thunderstorm
144,Inuvik,CA,2022-11-29 19:34:37,68.3499,-133.7218,-15.84,76,100,2.3,light snow
145,Kahului,US,2022-11-29 19:34:37,20.8947,-156.47,79.84,83,0,4.61,clear sky
146,Alta Floresta,BR,2022-11-29 19:33:59,-9.8756,-56.0861,85.82,62,40,8.05,scattered clouds
147,Lagoa,PT,2022-11-29 19:34:38,39.05,-27.9833,62.49,83,100,13.11,overcast clouds
148,Yar-Sale,RU,2022-11-29 19:34:38,66.8333,70.8333,0.12,100,94,2.93,overcast clouds
149,Roseburg,US,2022-11-29 19:34:39,43.2165,-123.3417,44.35,79,20,3.44,few clouds
150,Marshall,US,2022-11-29 19:34:38,34.3834,-86.3333,71.35,54,0,10.36,clear sky
151,Merrill,US,2022-11-29 19:32:08,45.1805,-89.6835,38.97,98,100,5.75,drizzle
152,Port Alfred,ZA,2022-11-29 19:34:39,-33.5906,26.891,67.17,88,30,1.99,scattered clouds
153,Fort Nelson,CA,2022-11-29 19:34:41,58.8053,-122.7002,-15.21,76,75,3.44,broken clouds
154,Ust-Ishim,RU,2022-11-29 19:34:41,57.6935,71.1665,-5.84,93,61,4.21,broken clouds
155,Teguldet,RU,2022-11-29 19:34:41,57.3064,88.1667,-11.38,98,99,3.65,overcast clouds
156,Hasaki,JP,2022-11-29 19:34:42,35.7333,140.8333,63.28,86,100,6.06,overcast clouds
157,Omemee,CA,2022-11-29 19:34:42,44.299,-78.5599,39.69,76,100,6.91,overcast clouds
158,Pozo Colorado,PY,2022-11-29 19:34:42,-23.4923,-58.7972,99.73,20,23,9.64,few clouds
159,Kodiak,US,2022-11-29 19:31:17,57.79,-152.4072,29.71,55,0,13.8,clear sky
160,Bathsheba,BB,2022-11-29 19:34:43,13.2167,-59.5167,75.81,94,75,20.71,broken clouds
161,Onguday,RU,2022-11-29 19:34:43,50.75,86.15,-16.76,96,35,1.79,scattered clouds
162,Medvezhyegorsk,RU,2022-11-29 19:33:53,62.9167,34.4667,18.0,99,100,1.36,overcast clouds
163,Poum,NC,2022-11-29 19:34:44,-20.2333,164.0167,81.41,81,57,12.5,broken clouds
164,Ouadda,CF,2022-11-29 19:34:44,8.0777,22.4007,76.64,35,100,1.63,overcast clouds
165,Beloha,MG,2022-11-29 19:34:45,-25.1667,45.05,71.92,77,100,4.05,overcast clouds
166,Broome,US,2022-11-29 19:34:45,42.2506,-75.833,44.1,70,100,6.91,overcast clouds
167,Torres,BR,2022-11-29 19:34:46,-29.3353,-49.7269,72.82,90,44,8.7,scattered clouds
168,Ust-Ilimsk,RU,2022-11-29 19:31:03,58.0006,102.6619,-2.02,96,100,7.4,overcast clouds
169,Oktyabrskoye,RU,2022-11-29 19:34:46,43.0645,44.7417,30.34,100,99,15.66,overcast clouds
170,Makungu,TZ,2022-11-29 19:34:46,-8.7333,35.2833,64.58,64,83,2.1,broken clouds
171,Hithadhoo,MV,2022-11-29 19:34:47,-0.6,73.0833,81.48,73,98,8.72,overcast clouds
172,Banjarmasin,ID,2022-11-29 19:34:47,-3.3244,114.591,75.34,92,85,1.7,overcast clouds
173,Monte Escobedo,MX,2022-11-29 19:34:47,22.3,-103.5833,68.52,25,37,10.45,scattered clouds
174,Vaitape,PF,2022-11-29 19:32:16,-16.5167,-151.75,79.23,77,16,13.27,light rain
175,Amnat Charoen,TH,2022-11-29 19:34:48,15.9167,104.75,81.61,65,100,3.74,overcast clouds
176,Provideniya,RU,2022-11-29 19:34:48,64.3833,-173.3,29.84,99,100,5.55,light snow
177,Geraldton,AU,2022-11-29 19:31:28,-28.7667,114.6,70.21,88,100,9.22,overcast clouds
178,Ueda,JP,2022-11-29 19:34:49,36.4,138.2667,59.0,98,100,4.54,overcast clouds
179,Parksville,CA,2022-11-29 19:34:49,49.3163,-124.3195,31.64,86,100,33.38,light snow
180,Lebu,CL,2022-11-29 19:34:50,-37.6167,-73.65,61.0,81,99,14.54,overcast clouds
181,Davila,PH,2022-11-29 19:34:50,18.4726,120.5763,80.78,80,0,3.76,clear sky
182,Maneadero,MX,2022-11-29 19:33:45,31.7167,-116.5667,63.1,70,23,3.0,few clouds
183,Zhigansk,RU,2022-11-29 19:34:51,66.7697,123.3711,-43.11,99,55,3.38,broken clouds
184,Aitape,PG,2022-11-29 19:34:35,-3.1374,142.3475,76.73,89,98,3.51,overcast clouds
185,Souillac,MU,2022-11-29 19:35:51,-20.5167,57.5167,73.78,83,40,4.61,scattered clouds
186,Cayenne,GF,2022-11-29 19:35:10,4.9333,-52.3333,75.24,94,75,3.44,broken clouds
187,Sitka,US,2022-11-29 19:32:31,57.0531,-135.33,26.49,43,20,9.22,few clouds
188,Honiara,SB,2022-11-29 19:35:52,-9.4333,159.95,79.39,85,100,1.19,overcast clouds
189,Husavik,IS,2022-11-29 19:32:37,66.0449,-17.3389,33.69,76,76,14.72,broken clouds
190,Koryazhma,RU,2022-11-29 19:35:52,61.3143,47.1691,11.34,97,80,2.55,broken clouds
191,Port Blair,IN,2022-11-29 19:35:52,11.6667,92.75,79.65,83,36,4.7,scattered clouds
192,Ambulu,ID,2022-11-29 19:35:53,-8.345,113.6058,77.09,87,100,3.33,overcast clouds
193,Tran,BG,2022-11-29 19:35:53,42.8353,22.6517,37.98,99,100,3.13,overcast clouds
194,Port Elizabeth,ZA,2022-11-29 19:34:32,-33.918,25.5701,73.09,84,0,6.91,clear sky
195,Saint-Philippe,RE,2022-11-29 19:35:54,-21.3585,55.7679,76.59,79,98,4.43,overcast clouds
196,Carnarvon,AU,2022-11-29 19:35:54,-24.8667,113.6333,70.05,86,0,13.35,clear sky
197,Mount Isa,AU,2022-11-29 19:31:09,-20.7333,139.5,76.77,22,75,16.11,broken clouds
198,Touros,BR,2022-11-29 19:35:54,-5.1989,-35.4608,79.59,72,72,11.65,broken clouds
199,Roald,NO,2022-11-29 19:35:55,62.5833,6.1333,45.0,70,75,8.05,light rain
200,Port Lincoln,AU,2022-11-29 19:35:55,-34.7333,135.8667,56.05,78,61,6.87,broken clouds
201,Sao Filipe,CV,2022-11-29 19:35:56,14.8961,-24.4956,76.17,65,0,8.66,clear sky
202,Ilulissat,GL,2022-11-29 19:35:56,69.2167,-51.1,26.62,68,75,10.36,broken clouds
203,Khatanga,RU,2022-11-29 19:35:56,71.9667,102.5,3.67,93,100,10.89,overcast clouds
204,Camacari,BR,2022-11-29 19:35:57,-12.6975,-38.3242,80.37,77,96,6.33,light rain
205,Upernavik,GL,2022-11-29 19:35:57,72.7868,-56.1549,4.15,94,100,14.16,overcast clouds
206,Sigayevo,RU,2022-11-29 19:35:57,56.4216,53.7757,3.97,98,96,2.73,overcast clouds
207,Nisia Floresta,BR,2022-11-29 19:35:58,-6.0911,-35.2086,85.01,69,95,11.83,overcast clouds
208,Hualmay,PE,2022-11-29 19:35:58,-11.0964,-77.6139,72.19,72,18,10.45,few clouds
209,Manggar,ID,2022-11-29 19:35:58,-2.8833,108.2667,78.42,87,99,5.37,overcast clouds
210,Narsaq,GL,2022-11-29 19:35:59,60.9167,-46.05,32.22,90,100,2.53,overcast clouds
211,Sinnamary,GF,2022-11-29 19:35:59,5.3833,-52.95,78.75,86,85,10.22,overcast clouds
212,Khor,RU,2022-11-29 19:35:59,47.8861,134.9464,2.25,83,100,17.47,overcast clouds
213,Kiunga,PG,2022-11-29 19:36:00,-6.1219,141.2906,71.58,99,100,2.04,overcast clouds
214,Nikolskoye,RU,2022-11-29 19:36:00,59.7035,30.7861,28.29,92,100,5.17,overcast clouds
215,Elk City,US,2022-11-29 19:36:01,35.412,-99.4043,50.22,46,0,19.57,clear sky
216,Balti,MD,2022-11-29 19:36:01,47.7617,27.9289,37.85,90,100,5.61,overcast clouds
217,Serta,PT,2022-11-29 19:33:06,39.8085,-8.0988,50.95,86,79,3.4,broken clouds
218,Klaksvik,FO,2022-11-29 19:36:01,62.2266,-6.589,41.92,85,100,7.99,overcast clouds
219,Haines Junction,CA,2022-11-29 19:36:02,60.7522,-137.5108,1.35,55,41,2.3,scattered clouds
220,Buala,SB,2022-11-29 19:36:02,-8.145,159.5921,79.18,83,100,3.74,moderate rain
221,Mtwara,TZ,2022-11-29 19:36:03,-10.2667,40.1833,78.13,83,20,9.22,few clouds
222,Tuatapere,NZ,2022-11-29 19:36:03,-46.1333,167.6833,54.01,89,90,4.72,overcast clouds
223,Kununurra,AU,2022-11-29 19:36:03,-15.7667,128.7333,76.98,94,98,0.0,overcast clouds
224,Russell,US,2022-11-29 19:36:04,32.3502,-85.1999,72.55,56,40,8.05,scattered clouds
225,Luderitz,NA,2022-11-29 19:36:04,-26.6481,15.1594,62.55,84,14,7.87,few clouds
226,Yuli,NG,2022-11-29 19:36:04,9.6989,10.2744,74.26,26,5,5.68,clear sky
227,Grand Haven,US,2022-11-29 19:36:05,43.0631,-86.2284,56.01,72,100,17.27,overcast clouds
228,Ribeira Grande,PT,2022-11-29 19:36:05,38.5167,-28.7,64.8,88,75,11.5,broken clouds
229,Buraydah,SA,2022-11-29 19:33:20,26.326,43.975,72.05,25,100,12.73,overcast clouds
230,Gamba,GA,2022-11-29 19:36:06,-2.65,10.0,76.03,88,75,2.24,broken clouds
231,Bara,NG,2022-11-29 19:34:50,10.3744,10.7288,73.26,26,29,7.74,scattered clouds
232,Oga,IT,2022-11-29 19:32:40,46.4631,10.347,30.88,98,100,3.74,overcast clouds
233,Sambava,MG,2022-11-29 19:37:08,-14.2667,50.1667,73.17,86,0,4.5,clear sky
234,Wahiawa,US,2022-11-29 19:37:09,21.5028,-158.0236,80.37,63,0,0.0,clear sky
235,Tonantins,BR,2022-11-29 19:37:10,-2.8731,-67.8022,91.76,48,100,5.28,overcast clouds
236,Copala,MX,2022-11-29 19:37:10,16.65,-98.9833,84.49,60,100,5.5,overcast clouds
237,Tawang,IN,2022-11-29 19:37:12,27.5833,91.8667,35.71,55,0,6.44,clear sky
238,Llangefni,GB,2022-11-29 19:37:12,53.2556,-4.3106,48.11,90,40,6.91,scattered clouds
239,Bhadasar,IN,2022-11-29 19:37:13,28.2833,74.3167,61.63,25,100,2.15,overcast clouds
240,Esperance,AU,2022-11-29 19:37:14,-33.8667,121.9,61.16,71,8,17.85,clear sky
241,Saldanha,ZA,2022-11-29 19:37:14,-33.0117,17.9442,63.12,94,0,4.18,clear sky
