City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
229,Buraydah,SA,72.05,overcast clouds,26.326,43.975,دنا للوحدات السكنية
233,Sambava,MG,73.17,clear sky,-14.2667,50.1667,Royal Sava Hôtel
234,Wahiawa,US,80.37,clear sky,21.5028,-158.0236,The Inn At Schofield
240,Esperance,AU,61.16,clear sky,-33.8667,121.9,Best Western
241,Saldanha,ZA,63.12,clear sky,-33.0117,17.9442,Hoedjesbaai
245,Kalabo,ZM,69.91,broken clouds,-14.97,22.6814,Golden Lodge Luxury Acomodation
248,Axim,GH,79.27,scattered clouds,4.8699,-2.2405,Axim Beach Hotel
252,Luganville,VU,82.0,broken clouds,-15.5333,167.1667,Beachfront Resort
255,Cidreira,BR,72.81,few clouds,-30.1811,-50.2056,Hotel Castelo
256,Buta,CD,70.11,moderate rain,2.7858,24.73,Hôtel Rubi
257,Taltal,CL,65.66,scattered clouds,-25.4,-70.4833,Hostería Taltal
260,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
261,Pisco,PE,72.01,clear sky,-13.7,-76.2167,La Portada
262,Shimoda,JP,66.11,scattered clouds,34.6667,138.95,ホテルウラガ
264,Rio Grande,BR,82.51,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
265,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
267,Bubaque,GW,81.18,broken clouds,11.2833,-15.8333,Chez Julio
269,Necochea,AR,82.31,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
271,Sale,MA,57.74,clear sky,34.0389,-6.8166,Le dawliz
275,Marsh Harbour,BS,77.2,few clouds,26.5412,-77.0636,Lofty Fig Villas
283,Chuy,UY,74.44,clear sky,-33.6971,-53.4616,Alerces
290,Bongaree,AU,75.22,overcast clouds,-27.0797,153.1586,Bribie Island Hotel
298,Trincomalee,LK,78.21,few clouds,8.5711,81.2335,Silver Star Inn
299,Akyab,MM,77.11,few clouds,20.15,92.9,Yuzana Aung Motel 1
300,Vicksburg,US,78.53,overcast clouds,32.3526,-90.8779,Relax Inn Downtown Vicksburg
305,Hambantota,LK,75.56,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
306,San Jose,US,58.71,few clouds,37.3394,-121.895,Hotel De Anza
313,Namibe,AO,69.8,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
315,Vila Do Maio,CV,77.79,clear sky,15.1333,-23.2167,Residencial Jardins De Maio
321,Elizabeth City,US,62.02,clear sky,36.2946,-76.2511,Quality Inn
322,Port Macquarie,AU,61.9,scattered clouds,-31.4333,152.9167,The Observatory
324,Praia,CV,77.54,broken clouds,14.9215,-23.5087,Casa Sodadi
326,Abdanan,IR,63.63,overcast clouds,32.9926,47.4198,هتل رستوران ستاره کبیرکوه
328,Meulaboh,ID,75.61,overcast clouds,4.1363,96.1285,Hotel Meuligou
331,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Tropic Hotel
334,Koungou,YT,78.51,few clouds,-12.7336,45.2042,Hôtel Trévani
336,Nador,MA,57.45,clear sky,35.174,-2.9287,Hotel Lixus
337,Ponta Do Sol,PT,66.0,few clouds,32.6667,-17.1,Estalagem Ponta do Sol
338,Pandhurna,IN,60.96,clear sky,21.6,78.5167,Hotel Payal Palace
341,Hollins,US,59.59,scattered clouds,37.3413,-79.9431,Affordable Corporate Suites
343,Mabaruma,GY,76.44,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
344,Agadir,MA,63.05,clear sky,30.4202,-9.5982,Atlantic
350,Kapit,MY,73.42,overcast clouds,2.0167,112.9333,Haip
351,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
352,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Golden Tulip Hotel
356,Vao,NC,78.22,broken clouds,-22.6667,167.4833,Nataiwatch
357,Grand Gaube,MU,73.8,scattered clouds,-20.0064,57.6608,Coco Villa
360,Padang,ID,77.04,overcast clouds,-0.9492,100.3543,losmen Surya
361,Daru,PG,76.33,overcast clouds,-9.0763,143.2092,Kuki
365,Tutoia,BR,80.58,broken clouds,-2.7619,-42.2744,Pousada San Vicente
368,Cuamba,MZ,69.3,light rain,-14.8031,36.5372,Pensao Cariaco
373,Soyo,AO,77.92,moderate rain,-6.1349,12.3689,Hotel Maria Teres
377,Cockburn Town,TC,80.6,few clouds,21.4612,-71.1419,The Salt Raker Inn
383,Tarata,BO,81.82,overcast clouds,-17.6167,-66.0167,Centro Alternativo Tara Tara
387,Cape Coast,GH,80.01,broken clouds,5.1053,-1.2466,Mighty Victory Hotel
389,Lindi,TZ,75.47,scattered clouds,-10.0,39.7167,Baraka inn
392,Vila Franca Do Campo,PT,66.2,broken clouds,37.7167,-25.4333,Vinha d'Areia Beach Hotel
398,La Paz,BO,60.78,scattered clouds,-16.5,-68.15,Alojamiento Tokio
399,Marawi,PH,67.69,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
404,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Fidji Motel
408,Marsa Matruh,EG,61.0,clear sky,31.3525,27.2453,صقور
410,Chandler,US,67.64,clear sky,33.3062,-111.8412,Crowne Plaza - San Marcos Golf Resort
414,Fare,PF,79.07,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
423,Itanagar,IN,60.12,clear sky,27.1,93.6167,Hotel Paramount
424,Kuching,MY,81.01,scattered clouds,1.55,110.3333,Hotel Samudera
425,Mareeba,AU,71.44,broken clouds,-17.0,145.4333,The Gateway Hotel
426,Lubango,AO,63.37,light rain,-14.9172,13.4925,Novo Hotel
431,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Prainha
439,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,Hotel valencia
440,Victor Harbor,AU,57.99,scattered clouds,-35.5667,138.6167,Hotel Victor
441,Atar,MR,73.15,clear sky,20.5169,-13.0499,فندق سكليل
448,Tupelo,US,71.42,overcast clouds,34.2576,-88.7034,Hilton Garden Inn Tupelo
454,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,JARS RESORT
457,Dakar,SN,79.68,dust,14.6937,-17.4441,翁记小吃
458,Tottori,JP,56.5,overcast clouds,35.5,134.2333,とらや旅館
